Unnamed: 0,Address,Location,Rent,Bed,Bath,Size,Description,Commute,Crime,Income,URL
20,"Havenscourt, Oakland, CA",2598 61st Ave,"$2,690/mo",2bd,1ba,900 sqft,"2598 61st Ave, Oakland, CA is a 2 bedroom, 1 bathroom, 1,550 sqft single-family home. 2598 61st Ave is located in Havenscourt, Oakland. 2598 61st Ave was listed for rent for $2,690/month on Mar 9, 2020. This property is pet friendly.",Commute85% of residents commute by car.,CrimeLow crime relative to the rest of Alameda county.,"$96,840 ",https://www.trulia.com/p/ca/oakland/2598-61st-ave-oakland-ca-94605--2435356850
21,"Webster, Oakland, CA",1700 83rd Ave,"$2,550/mo",2bd,1ba,"1,200 sqft","1700 83rd Ave, Oakland, CA is a 2 bedroom, 1 bathroom, 1,170 sqft single-family home built in 1928. 1700 83rd Ave is located in Webster, Oakland. 1700 83rd Ave was listed for rent for $2,550/month on Mar 4, 2020.",Commute80% of residents commute by car.,CrimeHigh crime relative to the rest of Alameda county.,"$91,800 ",https://www.trulia.com/p/ca/oakland/1700-83rd-ave-oakland-ca-94621--2083940835
22,"Frick, Oakland, CA",2834 Seminary Ave,"$1,650/mo",1bd,1ba,608 sqft,"2834 Seminary Ave, Oakland, CA is a 1 bedroom, 1 bathroom, 839 sqft single-family home built in 1940. 2834 Seminary Ave is located in Frick, Oakland. 2834 Seminary Ave was listed for rent for $1,650/month on Mar 11, 2020. This property is pet friendly.",Commute85% of residents commute by car.,CrimeLow crime relative to the rest of Alameda county.,"$59,400 ",https://www.trulia.com/p/ca/oakland/2834-seminary-ave-oakland-ca-94605--2083867447
23,"Lynn, Oakland, CA",Address Not Disclosed,"$2,650/mo",1bd,1ba,"1,285 sqft","This home in Oakland, CA is a 1 bedroom, 1 bathroom, 700 sqft single-family home built in 1925. This home is located in Lynn, Oakland. This property was listed for rent for $2,650/month on Mar 7, 2020. This property is pet friendly.",Commute75% of residents commute by car.,CrimeLow crime relative to the rest of Alameda county.,"$95,400 ",https://www.trulia.com/p/ca/oakland/address-not-disclosed-oakland-ca-94610--2117152268
24,"Jefferson, Oakland, CA",2027 High St,"$3,000/mo",3bd,2ba,"1,247 sqft","2027 High St, Oakland, CA is a 3 bedroom, 2 bathroom, 1,292 sqft single-family home built in 1908. 2027 High St is located in Jefferson, Oakland. 2027 High St was listed for rent for $3,000/month on Mar 11, 2020.",Commute74% of residents commute by car.,CrimeModerate crime relative to the rest of Alameda county.,"$108,000 ",https://www.trulia.com/p/ca/oakland/2027-high-st-oakland-ca-94601--1031248391
25,"Elmhurst Park, Oakland, CA",9411 E St,"$2,400/mo",2bd,1ba,"2,000 sqft","9411 E St, Oakland, CA is a 2 bedroom, 1 bathroom, 900 sqft single-family home built in 1920. 9411 E St is located in Elmhurst Park, Oakland. 9411 E St was listed for rent for $2,400/month on Mar 8, 2020.",Commute81% of residents commute by car.,CrimeModerate crime relative to the rest of Alameda county.,"$86,400 ",https://www.trulia.com/p/ca/oakland/9411-e-st-oakland-ca-94603--2318502361
26,"Millsmont, Oakland, CA",6441 Mokelumne Ave,"$3,500/mo",2bd,1ba,"2,002 sqft","6441 Mokelumne Ave, Oakland, CA is a 2 bedroom, 1 bathroom, 1,200 sqft single-family home built in 1938. 6441 Mokelumne Ave is located in Millsmont, Oakland. 6441 Mokelumne Ave was listed for rent for $3,500/month on Mar 11, 2020.",Commute85% of residents commute by car.,CrimeLow crime relative to the rest of Alameda county.,"$126,000 ",https://www.trulia.com/p/ca/oakland/6441-mokelumne-ave-oakland-ca-94605--1059044789
27,"Oakland, CA",3531 Rhoda Ave,"$2,200/mo",1bd,1ba,906 sqft,"3531 Rhoda Ave, Oakland, CA is a 1 bedroom, 1 bathroom, 608 sqft single-family home. 3531 Rhoda Ave was listed for rent for $2,200/month on Mar 10, 2020.",Commute81% of residents commute by car.,CrimeLowest crime relative to the rest of Alameda county.,"$79,200 ",https://www.trulia.com/p/ca/oakland/3531-rhoda-ave-oakland-ca-94602--2293030820
28,"Cleveland Heights, Oakland, CA",Address Not Disclosed,"$4,900/mo",3bd,1.5ba,"1,108 sqft","This home in Oakland, CA is a 3 bedroom, 1.5 bathroom, 1,285 sqft single-family home built in 1923. This home is located in Cleveland Heights, Oakland. This property was listed for rent for $4,900/month on Mar 5, 2020. This property is pet friendly.",Commute70% of residents commute by car.,CrimeLowest crime relative to the rest of Alameda county.,"$176,400 ",https://www.trulia.com/p/ca/oakland/address-not-disclosed-oakland-ca-94606--2083879469
29,"Arroyo Viejo, Oakland, CA",1491 82nd Ave,"$2,400/mo",2bd,1ba,950 sqft,"1491 82nd Ave, Oakland, CA is a 2 bedroom, 1 bathroom single-family home. 1491 82nd Ave is located in Arroyo Viejo, Oakland. 1491 82nd Ave was listed for rent for $2,400/month on Mar 4, 2020.",Commute80% of residents commute by car.,CrimeHigh crime relative to the rest of Alameda county.,"$86,400 ",https://www.trulia.com/p/ca/oakland/1491-82nd-ave-oakland-ca-94621--2083940116
30,"Glenview, Oakland, CA",3533 Glen Park Rd,"$3,950/mo",2bd,1ba,"1,528 sqft","3533 Glen Park Rd, Oakland, CA is a 2 bedroom, 1 bathroom, 1,247 sqft single-family home built in 1930. 3533 Glen Park Rd is located in Glenview, Oakland. 3533 Glen Park Rd was listed for rent for $3,950/month on Mar 3, 2020.",Commute81% of residents commute by car.,CrimeLowest crime relative to the rest of Alameda county.,"$142,200 ",https://www.trulia.com/p/ca/oakland/3533-glen-park-rd-oakland-ca-94602--2083853119
32,"Merriwood, Oakland, CA",1840 Gouldin Rd,"$5,800/mo",4bd,2ba,"1,794 sqft","1840 Gouldin Rd, Oakland, CA is a 4 bedroom, 2 bathroom, 2,002 sqft single-family home built in 1967. 1840 Gouldin Rd is located in Merriwood, Oakland. 1840 Gouldin Rd was listed for rent for $5,800/month on Mar 9, 2020. This property is pet friendly.",Commute79% of residents commute by car.,CrimeLowest crime relative to the rest of Alameda county.,"$208,800 ",https://www.trulia.com/p/ca/oakland/1840-gouldin-rd-oakland-ca-94611--2083911460
33,"Allendale, Oakland, CA",3333 Vale Ave,"$2,850/mo",2bd,1ba,"1,688 sqft","3333 Vale Ave, Oakland, CA is a 2 bedroom, 1 bathroom, 906 sqft single-family home built in 1915. 3333 Vale Ave is located in Allendale, Oakland. 3333 Vale Ave was listed for rent for $2,850/month on Mar 5, 2020.",Commute85% of residents commute by car.,CrimeModerate crime relative to the rest of Alameda county.,"$102,600 ",https://www.trulia.com/p/ca/oakland/3333-vale-ave-oakland-ca-94619--2083932848
34,"Longfellow, Oakland, CA",687 45th St,"$3,850/mo",2bd,2ba,975 sqft,"687 45th St, Oakland, CA is a 2 bedroom, 2 bathroom, 1,108 sqft single-family home built in 1920. 687 45th St is located in Longfellow, Oakland. 687 45th St was listed for rent for $3,850/month on Mar 13, 2020.",Commute58% of residents commute by car.,CrimeModerate crime relative to the rest of Alameda county.,"$138,600 ",https://www.trulia.com/p/ca/oakland/687-45th-st-oakland-ca-94609--2083901650
35,"Hacienda, Oakland, CA",2311 Humboldt Ave #2,"$2,650/mo",2bd,2ba,"1,800 sqft","2311 Humboldt Ave #2, Oakland, CA is a 2 bedroom, 2 bathroom, 950 sqft single-family home built in 1912. 2311 Humboldt Ave #2 is located in Hacienda, Oakland. 2311 Humboldt Ave #2 was listed for rent for $2,650/month on Mar 5, 2020. This property is pet friendly.",Commute74% of residents commute by car.,CrimeLow crime relative to the rest of Alameda county.,"$95,400 ",https://www.trulia.com/p/ca/oakland/2311-humboldt-ave-2-oakland-ca-94601--2450042778
36,"Golden Gate, Oakland, CA",1143 66th St,"$3,600/mo",2bd,2ba,"1,350 sqft","1143 66th St, Oakland, CA is a 2 bedroom, 2 bathroom, 1,528 sqft single-family home built in 2006. 1143 66th St is located in Golden Gate, Oakland. 1143 66th St was listed for rent for $3,600/month on Mar 5, 2020. This property is pet friendly.",Commute67% of residents commute by car.,CrimeLowest crime relative to the rest of Alameda county.,"$129,600 ",https://www.trulia.com/p/ca/oakland/1143-66th-st-oakland-ca-94608--2083888870
37,"Castlemont, Oakland, CA",9444 Peach St,"$3,400/mo",3bd,1ba,"1,750 sqft","9444 Peach St, Oakland, CA is a 3 bedroom, 1 bathroom single-family home. 9444 Peach St is located in Castlemont, Oakland. 9444 Peach St was listed for rent for $3,400/month on Mar 8, 2020.",Commute81% of residents commute by car.,CrimeModerate crime relative to the rest of Alameda county.,"$122,400 ",https://www.trulia.com/p/ca/oakland/9444-peach-st-oakland-ca-94603--2219167098
38,"Upper Rockridge, Oakland, CA",5046 Cochrane Ave,"$7,200/mo",3bd,3ba,984 sqft,"5046 Cochrane Ave, Oakland, CA is a 3 bedroom, 3 bathroom, 2,412 sqft single-family home built in 1993. 5046 Cochrane Ave is located in Upper Rockridge, Oakland. 5046 Cochrane Ave was listed for rent for $7,200/month on Mar 12, 2020. This property is pet friendly.",Commute64% of residents commute by car.,CrimeLowest crime relative to the rest of Alameda county.,"$259,200 ",https://www.trulia.com/p/ca/oakland/5046-cochrane-ave-oakland-ca-94618--2083926797
39,"Bushrod, Oakland, CA",514 North St,"$6,450/mo",6bd,2.5ba,711 sqft,"514 North St, Oakland, CA is a 6 bedroom, 2.5 bathroom, 1,794 sqft single-family home built in 1991. 514 North St is located in Bushrod, Oakland. 514 North St was listed for rent for $6,450/month on Mar 10, 2020. This property is pet friendly.",Commute58% of residents commute by car.,CrimeLow crime relative to the rest of Alameda county.,"$232,200 ",https://www.trulia.com/p/ca/oakland/514-north-st-oakland-ca-94609--2083899641
40,"Allendale, Oakland, CA",4089 Allendale Ave,"$3,950/mo",4bd,2.5ba,"3,300 sqft","4089 Allendale Ave, Oakland, CA is a 4 bedroom, 2.5 bathroom, 1,688 sqft single-family home built in 2015. 4089 Allendale Ave is located in Allendale, Oakland. 4089 Allendale Ave was listed for rent for $3,950/month on Mar 9, 2020.",Commute85% of residents commute by car.,CrimeLow crime relative to the rest of Alameda county.,"$142,200 ",https://www.trulia.com/p/ca/oakland/4089-allendale-ave-oakland-ca-94619--2083935059
41,"Foothill Square, Oakland, CA",2572 Truman Ave,"$4,045/mo",5bd,2ba,"2,710 sqft","2572 Truman Ave, Oakland, CA is a 5 bedroom, 2 bathroom, 1,654 sqft single-family home built in 1953. 2572 Truman Ave is located in Foothill Square, Oakland. 2572 Truman Ave was listed for rent for $4,045/month on Mar 3, 2020.",Commute85% of residents commute by car.,CrimeLow crime relative to the rest of Alameda county.,"$145,620 ",https://www.trulia.com/p/ca/oakland/2572-truman-ave-oakland-ca-94605--2083866301
42,"Oakland Avenue/Harrison Street, Oakland, CA",235 30th St,"$5,000/mo",4bd,3ba,550 sqft,"235 30th St, Oakland, CA is a 4 bedroom, 3 bathroom, 1,725 sqft single-family home built in 1900. 235 30th St is located in Oakland Avenue/Harrison Street, Oakland. 235 30th St was listed for rent for $5,000/month on Mar 4, 2020. This property is pet friendly.",Commute79% of residents commute by car.,CrimeModerate crime relative to the rest of Alameda county.,"$180,000 ",https://www.trulia.com/p/ca/oakland/235-30th-st-oakland-ca-94611--2083912837
43,"Oakmore, Oakland, CA",3836 Forest Hill Ave,"$2,995/mo",2bd,1ba,"1,300 sqft","3836 Forest Hill Ave, Oakland, CA is a 2 bedroom, 1 bathroom, 975 sqft single-family home built in 1949. 3836 Forest Hill Ave is located in Oakmore, Oakland. 3836 Forest Hill Ave was listed for rent for $2,995/month on Mar 4, 2020. This property is pet friendly.",Commute81% of residents commute by car.,CrimeLowest crime relative to the rest of Alameda county.,"$107,820 ",https://www.trulia.com/p/ca/oakland/3836-forest-hill-ave-oakland-ca-94602--2083853834
44,"Longfellow, Oakland, CA",961 44th St,"$4,500/mo",3bd,2.5ba,750 sqft,"961 44th St, Oakland, CA is a 3 bedroom, 2.5 bathroom, 1,800 sqft single-family home built in 1910. 961 44th St is located in Longfellow, Oakland. 961 44th St was listed for rent for $4,500/month on Mar 8, 2020.",Commute67% of residents commute by car.,CrimeLow crime relative to the rest of Alameda county.,"$162,000 ",https://www.trulia.com/p/ca/oakland/961-44th-st-oakland-ca-94608--2083896962
45,"Upper Rockridge, Oakland, CA",215 Hermosa Ave,"$4,200/mo",2bd,1ba,"1,400 sqft","215 Hermosa Ave, Oakland, CA is a 2 bedroom, 1 bathroom, 1,350 sqft single-family home built in 1936. 215 Hermosa Ave is located in Upper Rockridge, Oakland. 215 Hermosa Ave was listed for rent for $4,200/month on Mar 13, 2020. This property is pet friendly.",Commute64% of residents commute by car.,CrimeLowest crime relative to the rest of Alameda county.,"$151,200 ",https://www.trulia.com/p/ca/oakland/215-hermosa-ave-oakland-ca-94618--2083925442
46,"Temescal, Oakland, CA",514,"$6,450/mo",6bd,2.5ba,"1,045 sqft","514, Oakland, CA is a 6 bedroom, 2.5 bathroom, 1,750 sqft single-family home built in 1990. 514 is located in Temescal, Oakland. 514 was listed for rent for $6,450/month on Mar 11, 2020.",Commute58% of residents commute by car.,CrimeHigh crime relative to the rest of the area.,"$232,200 ",https://www.trulia.com/p/ca/oakland/514-oakland-ca-94609--2450653564
47,"Upper Peralta Creek, Oakland, CA",3212 School St,"$3,000/mo",3bd,1ba,"1,141 sqft","3212 School St, Oakland, CA is a 3 bedroom, 1 bathroom, 984 sqft single-family home built in 1921. 3212 School St is located in Upper Peralta Creek, Oakland. 3212 School St was listed for rent for $3,000/month on Mar 9, 2020.",Commute81% of residents commute by car.,CrimeLowest crime relative to the rest of Alameda county.,"$108,000 ",https://www.trulia.com/p/ca/oakland/3212-school-st-oakland-ca-94602--2083851938
48,"Havenscourt, Oakland, CA",2645 62nd Ave,"$2,950/mo",2bd,1ba,"1,501 sqft","2645 62nd Ave, Oakland, CA is a 2 bedroom, 1 bathroom, 711 sqft single-family home built in 1924. 2645 62nd Ave is located in Havenscourt, Oakland. 2645 62nd Ave was listed for rent for $2,950/month on Mar 9, 2020.",Commute85% of residents commute by car.,CrimeLow crime relative to the rest of Alameda county.,"$106,200 ",https://www.trulia.com/p/ca/oakland/2645-62nd-ave-oakland-ca-94605--2083866674
49,"Merriwood, Oakland, CA",49 Bay Forest Dr,"$9,000/mo",3bd,3.5ba,800 sqft,"49 Bay Forest Dr, Oakland, CA is a 3 bedroom, 3.5 bathroom, 3,300 sqft single-family home built in 1994. 49 Bay Forest Dr is located in Merriwood, Oakland. 49 Bay Forest Dr was listed for rent for $9,000/month on Mar 4, 2020. This property is pet friendly.",Commute79% of residents commute by car.,CrimeLowest crime relative to the rest of Alameda county.,"$324,000 ",https://www.trulia.com/p/ca/oakland/49-bay-forest-dr-oakland-ca-94611--2083916262
50,"Glen Highlands, Oakland, CA",6288 Ruthland Rd,"$5,200/mo",4bd,2.5ba,"2,300 sqft","6288 Ruthland Rd, Oakland, CA is a 4 bedroom, 2.5 bathroom, 2,710 sqft single-family home built in 2004. 6288 Ruthland Rd is located in Glen Highlands, Oakland. 6288 Ruthland Rd was listed for rent for $5,200/month on Sep 20, 2019.",Commute79% of residents commute by car.,CrimeLowest crime relative to the rest of Alameda county.,"$187,200 ",https://www.trulia.com/p/ca/oakland/6288-ruthland-rd-oakland-ca-94611--1002133839
51,"Fitchburg, Oakland, CA",1231 80th Ave,"$3,195/mo",4bd,2ba,"1,624 sqft","1231 80th Ave, Oakland, CA is a 4 bedroom, 2 bathroom, 660 sqft single-family home built in 1907. 1231 80th Ave is located in Fitchburg, Oakland. 1231 80th Ave was listed for rent for $3,195/month on Feb 3, 2020. This property is pet friendly.",Commute80% of residents commute by car.,CrimeHigh crime relative to the rest of Alameda county.,"$115,020 ",https://www.trulia.com/p/ca/oakland/1231-80th-ave-oakland-ca-94621--2083939014
52,"Highland Terrace, Oakland, CA",Address Not Disclosed,"$2,200/mo",2bd,1ba,"1,200 sqft","This home in Oakland, CA is a 2 bedroom, 1 bathroom, 550 sqft single-family home built in 1915. This home is located in Highland Terrace, Oakland. This property was listed for rent for $2,200/month on Feb 15, 2020. This property is pet friendly.",Commute70% of residents commute by car.,CrimeModerate crime relative to the rest of Alameda county.,"$79,200 ",https://www.trulia.com/p/ca/oakland/address-not-disclosed-oakland-ca-94606--1042325905
53,"Oak Center, Oakland, CA",1323 Adeline St,"$3,650/mo",3bd,2ba,"1,200 sqft","1323 Adeline St, Oakland, CA is a 3 bedroom, 2 bathroom, 1,300 sqft single-family home built in 1907. 1323 Adeline St is located in Oak Center, Oakland. 1323 Adeline St was listed for rent for $3,650/month on Feb 24, 2020. This property is pet friendly.",Commute60% of residents commute by car.,CrimeLow crime relative to the rest of Alameda county.,"$131,400 ",https://www.trulia.com/p/ca/oakland/1323-adeline-st-oakland-ca-94607--1008733741
54,"Paradise Park, Oakland, CA",Address Not Disclosed,"$2,450/mo",2bd,1ba,936 sqft,"This home in Oakland, CA is a 2 bedroom, 1 bathroom, 750 sqft single-family home. This home is located in Paradise Park, Oakland. This property was listed for rent for $2,450/month on Feb 18, 2020.",Commute67% of residents commute by car.,CrimeLow crime relative to the rest of Alameda county.,"$88,200 ",https://www.trulia.com/p/ca/oakland/address-not-disclosed-oakland-ca-94608--1054184205
55,"Montclair, Oakland, CA",5995 Balboa Dr,"$3,600/mo",3bd,1ba,"1,433 sqft","5995 Balboa Dr, Oakland, CA is a 3 bedroom, 1 bathroom, 1,400 sqft single-family home built in 1958. 5995 Balboa Dr is located in Montclair, Oakland. 5995 Balboa Dr was listed for rent for $3,600/month on Feb 11, 2020. This property is pet friendly.",Commute79% of residents commute by car.,CrimeLowest crime relative to the rest of Alameda county.,"$129,600 ",https://www.trulia.com/p/ca/oakland/5995-balboa-dr-oakland-ca-94611--2083917598
56,"Golden Gate, Oakland, CA",5879 Marshall St,"$3,200/mo",3bd,1ba,"4,200 sqft","5879 Marshall St, Oakland, CA is a 3 bedroom, 1 bathroom, 1,045 sqft single-family home built in 1918. 5879 Marshall St is located in Golden Gate, Oakland. 5879 Marshall St was listed for rent for $3,200/month on Feb 29, 2020.",Commute67% of residents commute by car.,CrimeLow crime relative to the rest of Alameda county.,"$115,200 ",https://www.trulia.com/p/ca/oakland/5879-marshall-st-oakland-ca-94608--1008999768
